Name,CAS Number,SMILES,Formula,Category,Classification 1
cariprazine,839712-12-8,CN(C)C(=O)N[C@H]1CC[C@H](CCN2CCN(CC2)C2=C(Cl)C(Cl)=CC=C2)CC1,C21H32Cl2N4O,D,Central Nervous System
carmustine,154-93-8,ClCCNC(=O)N(CCCl)N=O,C5H9Cl2N3O2,D,Antineoplastic Agents
carvedilol,72956-09-3,COC1=CC=CC=C1OCCNCC(O)COC1=CC=CC2=C1C1=CC=CC=C1N2,C24H26N2O4,C,Cardiovascular System
caspofungin,162808-62-0,[H][C@@]12C[C@@H](O)CN1C(=O)[C@@H](NC(=O)[C@]([H])(C[C@@H](O)[C@@H](NCCN)NC(=O)[C@@H]1[C@@H](O)CCN1C(=O)[C@@H](NC(=O)[C@@H](NC2=O)[C@H](O)[C@@H](O)C1=CC=C(O)C=C1)[C@H](O)CCN)NC(=O)CCCCCCCC[C@@H](C)C[C@@H](C)CC)[C@@H](C)O,C52H88N10O15,B3,Antimicrobials
cefaclor,53994-73-3,[H][C@]12SCC(Cl)=C(N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=CC=C1)C(O)=O,C15H14ClN3O4S,B1,Antimicrobials
cefalotin,153-61-7,[H][C@@]1(NC(=O)CC2=CC=CS2)C(=O)N2C(C(O)=O)=C(COC(C)=O)CS[C@]12[H],C16H16N2O6S2,A,Antimicrobials
cefamandole,34444-01-4,[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@H]2NC(=O)[C@H](O)C1=CC=CC=C1)C(O)=O,C18H18N6O5S2,B1,Antimicrobials
cefazolin,25953-19-9,[H][C@]12SCC(CSC3=NN=C(C)S3)=C(N1C(=O)[C@H]2NC(=O)CN1C=NN=N1)C(O)=O,C14H14N8O4S3,B1,Antimicrobials
cefepime,88040-23-7,CO\N=C(/C(=O)N[C@@H]1C(=O)N2[C@]1([H])SCC(C[N+]1(C)CCCC1)=C2C([O-])=O)C1=CSC(N)=N1,C19H24N6O5S2,B1,Antimicrobials
cefodizime,69739-16-8,[H][C@]12SCC(CSC3=NC(C)=C(CC(O)=O)S3)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\C1=CSC(N)=N1)C(O)=O,C20H20N6O7S4,B2,Antimicrobials
cefotaxime,63527-52-6,[H][C@]12SCC(COC(C)=O)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\C1=CSC(N)=N1)C(O)=O,C16H17N5O7S2,B1,Antimicrobials
cefotetan,69712-56-7,[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@]2(NC(=O)C1SC(S1)=C(C(N)=O)C(O)=O)OC)C(O)=O,C17H17N7O8S4,B1,Antimicrobials
cefoxitin,35607-66-0,[H][C@]12SCC(COC(N)=O)=C(N1C(=O)[C@]2(NC(=O)CC1=CC=CS1)OC)C(O)=O,C16H17N3O7S2,B1,Antimicrobials
cefpirome,84957-29-9,[H][C@]12SCC(C[N+]3=C4CCCC4=CC=C3)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\C1=CSC(N)=N1)C([O-])=O,C22H22N6O5S2,B2,Antimicrobials
cefpodoxime,80210-62-4,[H][C@]12SCC(COC)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\C1=CSC(N)=N1)C(O)=O,C15H17N5O6S2,B1,Antimicrobials
ceftaroline fosamil,229016-73-3,[H][C@]12SCC(SC3=NC(=CS3)C3=CC=[N+](C)C=C3)=C(N1C(=O)[C@H]2NC(=O)C(=N/OCC)\C1=NSC(NP(O)(O)=O)=N1)C([O-])=O,C22H21N8O8PS4,B1,Antimicrobials
ceftazidime,72558-82-8,[O-]C(=O)C1=C(CS[C@]2([H])[C@H](NC(=O)C(=N/OC(C)(C)C(O)=O)\C3=CSC(N)=N3)C(=O)N12)C[N+]1=CC=CC=C1,C22H22N6O7S2,B1,Antimicrobials
ceftriaxone,73384-59-5,[H][C@]12SCC(CSC3=NC(=O)C(=O)NN3C)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\C1=CSC(N)=N1)C(O)=O,C18H18N8O7S3,B1,Antimicrobials
cefuroxime,55268-75-2,[H][C@]12SCC(COC(N)=O)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\C1=CC=CO1)C(O)=O,C16H16N4O8S,B1,Antimicrobials
celecoxib,169590-42-5,CC1=CC=C(C=C1)C1=CC(=NN1C1=CC=C(C=C1)S(N)(=O)=O)C(F)(F)F,C17H14F3N3O2S,B3,Musculoskeletal System
ceritinib,1032900-25-6,CC(C)OC1=C(NC2=NC=C(Cl)C(N2)=NC2=CC=CC=C2S(=O)(=O)C(C)C)C=C(C)C(=C1)C1CCNCC1,C28H36ClN5O3S,D,Antineoplastic Agents
cerivastatin,145599-86-6,COCC1=C(C2=CC=C(F)C=C2)C(\C=C\[C@@H](O)C[C@@H](O)CC(O)=O)=C(C(C)C)N=C1C(C)C,C26H34FNO5,D,Cardiovascular System
cetirizine,83881-51-0,OC(=O)COCCN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=C(Cl)C=C1,C21H25ClN2O3,B2,Allergy and Immune System
cetrorelix,120287-85-6,CC(C)C[C@H](NC(=O)[C@@H](CCCNC(N)=O)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@@H](CC1=CN=CC=C1)NC(=O)[C@@H](CC1=CC=C(Cl)C=C1)NC(=O)[C@@H](CC1=CC2=CC=CC=C2C=C1)NC(C)=O)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O,C70H92ClN17O14,D,Endocrine System
cetylpyridinium,7773-52-6,CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1,C21H38N,A,Drugs used in Dermatology
chenodeoxycholic acid,474-25-9,[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(O)=O,C24H40O4,B3,Alimentary System
chloral hydrate,302-17-0,OC(O)C(Cl)(Cl)Cl,C2H3Cl3O2,A,Central Nervous System
chlorambucil,305-03-3,OC(=O)CCCC1=CC=C(C=C1)N(CCCl)CCCl,C14H19Cl2NO2,D,Antineoplastic Agents
chloramphenicol,56-75-7,OC[C@@H](NC(=O)C(Cl)Cl)[C@H](O)C1=CC=C(C=C1)[N+]([O-])=O,C11H12Cl2N2O5,A,Antimicrobials
chlorcyclizine,82-93-9,CN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=C(Cl)C=C1,C18H21ClN2,B3,Allergy and Immune System
chlordiazepoxide,58-25-3,CNC1=NC2=C(C=C(Cl)C=C2)C(C2=CC=CC=C2)=[N+]([O-])C1,C16H14ClN3O,C,Central Nervous System
chlorhexidine,55-56-1,ClC1=CC=C(NC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)NC2=CC=C(Cl)C=C2)C=C1,C22H30Cl2N10,A,Drugs used in Dermatology
chlorothiazide,58-94-6,NS(=O)(=O)C1=C(Cl)C=C2NC=NS(=O)(=O)C2=C1,C7H6ClN3O4S2,C,Cardiovascular System
chlorpromazine,50-53-3,CN(C)CCCN1C2=CC=CC=C2SC2=C1C=C(Cl)C=C2,C17H19ClN2S,D,Central Nervous System
chlorpropamide,94-20-2,CCCNC(=O)NS(=O)(=O)C1=CC=C(Cl)C=C1,C10H13ClN2O3S,C,Endocrine System
chlorquinaldol,72-80-0,CC1=NC2=C(C=C1)C(Cl)=CC(Cl)=C2O,C10H7Cl2NO,A,Drugs used in Dermatology
cholic acid,81-25-4,[H][C@@](C)(CCC(O)=O)[C@@]1([H])CC[C@@]2([H])[C@]3([H])[C@]([H])(O)C[C@]4([H])C[C@]([H])(O)CC[C@]4(C)[C@@]3([H])C[C@]([H])(O)[C@]12C,C24H40O5,B2,Alimentary System
ciclesonide,126544-47-6,[H][C@@]12C[C@@]3([H])[C@]4([H])CCC5=CC(=O)C=C[C@]5(C)[C@@]4([H])[C@@H](O)C[C@]3(C)[C@@]1(O[C@@H](O2)C1CCCCC1)C(=O)COC(=O)C(C)C,C32H44O7,B3,Endocrine System
ciclesonide,126544-47-6,[H][C@@]12C[C@@]3([H])[C@]4([H])CCC5=CC(=O)C=C[C@]5(C)[C@@]4([H])[C@@H](O)C[C@]3(C)[C@@]1(O[C@@H](O2)C1CCCCC1)C(=O)COC(=O)C(C)C,C32H44O7,B3,Respiratory System
ciclopirox,29342-05-0,CC1=CC(=O)N(O)C(=C1)C1CCCCC1,C12H17NO2,B3,Antimicrobials
cidofovir,113852-37-2,NC1=NC(=O)N(C[C@@H](CO)OCP(O)(O)=O)C=C1,C8H14N3O6P,D,Antimicrobials
cilazapril,88768-40-5,CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@H]1CCCN2CCC[C@H](N2C1=O)C(O)=O,C22H31N3O5,D,Cardiovascular System
cilostazol,73963-72-1,O=C1CCC2=C(N1)C=CC(OCCCCC1=NN=NN1C1CCCCC1)=C2,C20H27N5O2,B3,Cardiovascular System
cimetidine,51481-61-9,CN\C(NCCSCC1=C(C)NC=N1)=N\C#N,C10H16N6S,B1,Alimentary System
cinacalcet,226256-56-0,C[C@@H](NCCCC1=CC(=CC=C1)C(F)(F)F)C1=CC=CC2=CC=CC=C12,C22H22F3N,B3,Endocrine System
cinchocaine,85-79-0,CCCCOC1=NC2=CC=CC=C2C(=C1)C(=O)NCCN(CC)CC,C20H29N3O2,A,Drugs Used in Anaesthesia
ciprofloxacin,85721-33-1,OC(=O)C1=CN(C2CC2)C2=CC(N3CCNCC3)=C(F)C=C2C1=O,C17H18FN3O3,B3,Antimicrobials
cisapride,81098-60-4,CO[C@H]1CN(CCCOC2=CC=C(F)C=C2)CC[C@H]1NC(=O)C1=CC(Cl)=C(N)C=C1OC,C23H29ClFN3O4,B1,Alimentary System
cisplatin,15663-27-1,[H][N]([H])([H])[Pt](Cl)(Cl)[N]([H])([H])[H],Cl2H6N2Pt,D,Antineoplastic Agents
citalopram,59729-33-8,CN(C)CCCC1(OCC2=C1C=CC(=C2)C#N)C1=CC=C(F)C=C1,C20H21FN2O,C,Central Nervous System
cladribine,4291-63-8,NC1=C2N=CN([C@H]3C[C@H](O)[C@@H](CO)O3)C2=NC(Cl)=N1,C10H12ClN5O3,D,Antineoplastic Agents
clarithromycin,81103-11-9,[H][C@@]1(C[C@@](C)(OC)[C@@H](O)[C@H](C)O1)O[C@H]1[C@H](C)[C@@H](O[C@]2([H])O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@](C)(O)[C@@H](CC)OC(=O)[C@@H]1C)OC,C38H69NO13,B3,Antimicrobials
clavulanic acid,58001-44-8,[H][C@@]12CC(=O)N1[C@@H](C(O)=O)\C(O2)=C\CO,C8H9NO5,B1,Antimicrobials
clemastine,15686-51-8,CN1CCC[C@@H]1CCO[C@](C)(C1=CC=CC=C1)C1=CC=C(Cl)C=C1,C21H26ClNO,A,Allergy and Immune System
clindamycin,18323-44-9,[H][C@@](NC(=O)[C@@H]1C[C@@H](CCC)CN1C)([C@H](C)Cl)[C@@]1([H])O[C@H](SC)[C@H](O)[C@@H](O)[C@H]1O,C18H33ClN2O5S,A,Antimicrobials
clindamycin,18323-44-9,[H][C@@](NC(=O)[C@@H]1C[C@@H](CCC)CN1C)([C@H](C)Cl)[C@@]1([H])O[C@H](SC)[C@H](O)[C@@H](O)[C@H]1O,C18H33ClN2O5S,A,Antimicrobials
clioquinol,130-26-7,OC1=C(I)C=C(Cl)C2=C1N=CC=C2,C9H5ClINO,A,Antimicrobials
clobazam,22316-47-8,CN1C2=C(C=C(Cl)C=C2)N(C2=CC=CC=C2)C(=O)CC1=O,C16H13ClN2O2,C,Central Nervous System
clofarabine,123318-82-1,[H][C@]1(F)[C@H](O)[C@@H](CO)O[C@H]1N1C=NC2=C(N)N=C(Cl)N=C12,C10H11ClFN5O3,D,Antineoplastic Agents
clofazimine,2030-63-9,CC(C)N=C1C=C2N(C3=CC=C(Cl)C=C3)C3=C(C=CC=C3)N=C2C=C1NC1=CC=C(Cl)C=C1,C27H22Cl2N4,C,Antimicrobials
clofibrate,637-07-0,CCOC(=O)C(C)(C)OC1=CC=C(Cl)C=C1,C12H15ClO3,B1,Cardiovascular System
clomifene,911-45-5,CCN(CC)CCOC1=CC=C(C=C1)C(=C(Cl)C1=CC=CC=C1)C1=CC=CC=C1,C26H28ClNO,B3,Endocrine System
clomipramine,303-49-1,CN(C)CCCN1C2=CC=CC=C2CCC2=C1C=C(Cl)C=C2,C19H23ClN2,C,Central Nervous System
clonazepam,1622-61-3,[O-][N+](=O)C1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2Cl)C=C1,C15H10ClN3O3,B3,Central Nervous System
clonazepam,1622-61-3,[O-][N+](=O)C1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2Cl)C=C1,C15H10ClN3O3,B3,Central Nervous System
clonidine,4205-90-7,ClC1=CC=CC(Cl)=C1NC1=NCCN1,C9H9Cl2N3,B3,Cardiovascular System
clopamide,636-54-4,C[C@H]1CCC[C@@H](C)N1NC(=O)C1=CC=C(Cl)C(=C1)S(N)(=O)=O,C14H20ClN3O3S,C,Cardiovascular System
clopidogrel,113665-84-2,[H][C@@](N1CCC2=C(C1)C=CS2)(C(=O)OC)C1=CC=CC=C1Cl,C16H16ClNO2S,B1,Cardiovascular System
clotrimazole,23593-75-1,ClC1=CC=CC=C1C(N1C=CN=C1)(C1=CC=CC=C1)C1=CC=CC=C1,C22H17ClN2,A,Drugs used in Dermatology
clotrimazole,23593-75-1,ClC1=CC=CC=C1C(N1C=CN=C1)(C1=CC=CC=C1)C1=CC=CC=C1,C22H17ClN2,A,Genitourinary System
cloxacillin,61-72-3,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)C1=C(C)ON=C1C1=CC=CC=C1Cl)C(O)=O,C19H18ClN3O5S,A,Antimicrobials
clozapine,5786-21-0,CN1CCN(CC1)C1=NC2=CC(Cl)=CC=C2NC2=CC=CC=C12,C18H19ClN4,C,Central Nervous System
cobicistat,1004316-88-4,CC(C)C1=NC(CN(C)C(=O)N[C@@H](CCN2CCOCC2)C(=O)N[C@H](CC[C@H](CC2=CC=CC=C2)NC(=O)OCC2=CN=CS2)CC2=CC=CC=C2)=CS1,C40H53N7O5S2,B1,Antimicrobials
codeine,76-57-3,[H][C@]12C=C[C@H](O)[C@@H]3OC4=C5C(C[C@H]1N(C)CC[C@@]235)=CC=C4OC,C18H21NO3,A,Central Nervous System
codeine,76-57-3,[H][C@]12C=C[C@H](O)[C@@H]3OC4=C5C(C[C@H]1N(C)CC[C@@]235)=CC=C4OC,C18H21NO3,A,Respiratory System
colchicine,64-86-8,COC1=CC2=C(C(OC)=C1OC)C1=CC=C(OC)C(=O)C=C1[C@H](CC2)NC(C)=O,C22H25NO6,D,Musculoskeletal System
colestipol,26658-42-4,nan,,B2,Cardiovascular System
colistimethate,12705-41-8,CCC(C)CCCCC(=O)NC(CCNCS([O-])(=O)=O)C(=O)NC(C(C)O)C(=O)NC(CCNCS([O-])(=O)=O)C(=O)NC1CCNC(=O)C(NC(=O)C(CCNCS([O-])(=O)=O)NC(=O)C(CCNCS([O-])(=O)=O)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(CCNCS([O-])(=O)=O)NC1=O)C(C)O,C58H105N16O28S5,B2,Antimicrobials
conjugated estrogens,12126-59-9,nan,,D,Endocrine System
cortisone,53-06-5,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)CC(=O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,C21H28O5,A,Endocrine System
crisaborole,906673-24-3,OB1OCC2=C1C=CC(OC1=CC=C(C=C1)C#N)=C2,C14H10BNO3,B1,Drugs Used in Dermatology
crizotinib,877399-52-5,C[C@@H](OC1=CC(=CN=C1N)C1=CN(N=C1)C1CCNCC1)C1=C(Cl)C=CC(F)=C1Cl,C21H22Cl2FN5O,D,Antineoplastic Agents
crotamiton,483-63-6,CCN(C(=O)C=CC)C1=CC=CC=C1C,C13H17NO,B2,Drugs used in Dermatology
cyclizine,82-92-8,CN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=CC=C1,C18H22N2,B3,Allergy and Immune System
cyclopenthiazide,742-20-1,NS(=O)(=O)C1=CC2=C(NC(CC3CCCC3)NS2(=O)=O)C=C1Cl,C13H18ClN3O4S2,C,Cardiovascular System
cyclopentolate,512-15-2,CN(C)CCOC(=O)C(C1=CC=CC=C1)C1(O)CCCC1,C17H25NO3,B2,Ophthalmic Drugs
cyclophosphamide,50-18-0,ClCCN(CCCl)P1(=O)NCCCO1,C7H15Cl2N2O2P,D,Antineoplastic Agents
cyproheptadine,129-03-3,CN1CCC(CC1)=C1C2=CC=CC=C2C=CC2=CC=CC=C12,C21H21N,A,Allergy and Immune System
cytarabine,147-94-4,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,C9H13N3O5,D,Antineoplastic Agents
dabigatran etexilate,211915-06-9,CCCCCCOC(=O)\N=C(\N)C1=CC=C(NCC2=NC3=C(C=CC(=C3)C(=O)N(CCC(=O)OCC)C3=NC=CC=C3)N2C)C=C1,C34H41N7O5,C,Cardiovascular System
dacarbazine,04-03-4342,CN(C)\N=N\C1=C(N=CN1)C(N)=O,C6H10N6O,D,Antineoplastic Agents
daclatasvir,1009119-64-5,COC(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1C1=NC=C(N1)C1=CC=C(C=C1)C1=CC=C(C=C1)C1=CN=C(N1)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)OC)C(C)C,C40H50N8O6,B3,Antimicrobials
dalteparin,9005-49-6,nan,,C,Cardiovascular System
danaparoid,308068-55-5,nan,,C,Cardiovascular System
danazol,17230-88-5,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC3=C(C[C@]12C)C=NO3,C22H27NO2,D,Endocrine System
dantrolene,7261-97-4,[O-][N+](=O)C1=CC=C(C=C1)C1=CC=C(O1)\C=N\N1CC(=O)NC1=O,C14H10N4O5,B2,Musculoskeletal System
dapagliflozin,461432-26-8,CCOC1=CC=C(CC2=C(Cl)C=CC(=C2)[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C=C1,C21H25ClO6,D,Endocrine System
dapoxetine,119356-77-3,CN(C)[C@@H](CCOC1=CC=CC2=CC=CC=C12)C1=CC=CC=C1,C21H23NO,C,Central Nervous System
dapsone,80-08-0,NC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(N)C=C1,C12H12N2O2S,B2,Antimicrobials
daptomycin,103060-53-3,CCCCCCCCCC(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@H](CC(N)=O)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@H]1[C@@H](C)OC(=O)[C@H](CC(=O)C2=CC=CC=C2N)NC(=O)[C@@H](NC(=O)[C@@H](CO)NC(=O)CNC(=O)[C@H](CC(O)=O)NC(=O)[C@@H](C)NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CCCN)NC(=O)CNC1=O)[C@H](C)CC(O)=O,C72H101N17O26,B1,Antimicrobials
darifenacin,133099-04-4,NC(=O)C([C@@H]1CCN(CCC2=CC3=C(OCC3)C=C2)C1)(C1=CC=CC=C1)C1=CC=CC=C1,C28H30N2O2,B3,Genitourinary System
darolutamide,1297538-32-9,C[C@@H](CN1C=CC(=N1)C1=CC=C(C#N)C(Cl)=C1)NC(=O)C1=NNC(=C1)C(C)O,C19H19ClN6O2,D,Antineoplastic Agents
darunavir,206361-99-1,[H][C@@]12CCO[C@]1([H])OC[C@@H]2OC(=O)N[C@@H](CC1=CC=CC=C1)[C@H](O)CN(CC(C)C)S(=O)(=O)C1=CC=C(N)C=C1,C27H37N3O7S,B2,Antimicrobials
dasatinib,302962-49-8,CC1=NC(NC2=NC=C(S2)C(=O)NC2=C(C)C=CC=C2Cl)=CC(=N1)N1CCN(CCO)CC1,C22H26ClN7O2S,D,Antineoplastic Agents
daunorubicin,20830-81-3,COC1=CC=CC2=C1C(=O)C1=C(O)C3=C(C[C@](O)(C[C@@H]3O[C@H]3C[C@H](N)[C@H](O)[C@H](C)O3)C(C)=O)C(O)=C1C2=O,C27H29NO10,D,Antineoplastic Agents
deferasirox,201530-41-8,OC(=O)C1=CC=C(C=C1)N1N=C(N=C1C1=CC=CC=C1O)C1=CC=CC=C1O,C21H15N3O4,C,"Detoxifying Agents, Antidotes "
deferiprone,30652-11-0,CN1C=CC(=O)C(O)=C1C,C7H9NO2,D,"Detoxifying Agents, Antidotes "
delavirdine,136817-59-9,CC(C)NC1=C(N=CC=C1)N1CCN(CC1)C(=O)C1=CC2=C(N1)C=CC(NS(C)(=O)=O)=C2,C22H28N6O3S,B3,Antimicrobials
demeclocycline,127-33-3,[H][C@]12C[C@@]3([H])[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C(=O)C1=C([C@H]2O)C(Cl)=CC=C1O,C21H21ClN2O8,D,Antimicrobials
desflurane,57041-67-5,FC(F)OC(F)C(F)(F)F,C3H2F6O,B3,Drugs Used in Anaesthesia
desipramine,50-47-5,CNCCCN1C2=CC=CC=C2CCC2=CC=CC=C12,C18H22N2,C,Central Nervous System
desloratadine,100643-71-8,ClC1=CC2=C(C=C1)C(=C1CCNCC1)C1=C(CC2)C=CC=N1,C19H19ClN2,B1,Allergy and Immune System
desmopressin,16679-58-6,NC(=O)CC[C@@H]1NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CC2=CC=C(O)C=C2)NC(=O)CCSSC[C@H](NC(=O)[C@H](CC(N)=O)NC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@H](CCCNC(N)=N)C(=O)NCC(N)=O,C46H64N14O12S2,B1,Endocrine System
desonide,638-94-8,[H][C@@]12C[C@H]3OC(C)(C)O[C@@]3(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,C24H32O6,B3,Drugs used in Dermatology
desvenlafaxine,93413-62-8,CN(C)CC(C1=CC=C(O)C=C1)C1(O)CCCCC1,C16H25NO2,B2,Central Nervous System
deucravacitinib,1609392-27-9,[2H]C([2H])([2H])NC(=O)C1=C(NC2=CC=CC(C3=NN(C)C=N3)=C2OC)C=C(NC(=O)C2CC2)N=N1,C20H22N8O3,B1,Allergy and Immune System
dexamethasone,50-02-2,[H][C@@]12C[C@@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,C22H29FO5,A,Endocrine System
dexfenfluramine,3239-44-9,CCN[C@@H](C)CC1=CC=CC(=C1)C(F)(F)F,C12H16F3N,B3,Metabolism
dexmedetomidine,113775-47-6,C[C@H](C1=CNC=N1)C1=C(C)C(C)=CC=C1,C13H16N2,B1,Central Nervous System
dextromethorphan,125-71-3,[H][C@]12CCCC[C@]11CCN(C)[C@H]2CC2=C1C=C(OC)C=C2,C18H25NO,A,Respiratory System
dextromoramide,357-56-2,C[C@H](CN1CCOCC1)C(C(=O)N1CCCC1)(C1=CC=CC=C1)C1=CC=CC=C1,C25H32N2O2,C,Central Nervous System
dextropropoxyphene,469-62-5,CCC(=O)O[C@@](CC1=CC=CC=C1)([C@H](C)CN(C)C)C1=CC=CC=C1,C22H29NO2,C,Central Nervous System
diazepam,439-14-5,CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1,C16H13ClN2O,C,Central Nervous System
diazoxide,364-98-7,CC1=NS(=O)(=O)C2=C(N1)C=CC(Cl)=C2,C8H7ClN2O2S,C,Cardiovascular System
diclofenac,15307-86-5,OC(=O)CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl,C14H11Cl2NO2,C,Musculoskeletal System
dicloxacillin,3116-76-5,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)C1=C(C)ON=C1C1=C(Cl)C=CC=C1Cl)C(O)=O,C19H17Cl2N3O5S,B2,Antimicrobials
didanosine,69655-05-6,OC[C@@H]1CC[C@@H](O1)N1C=NC2=C1NC=NC2=O,C10H12N4O3,B2,Antimicrobials
diethylcarbamazine,90-89-1,CCN(CC)C(=O)N1CCN(C)CC1,C10H21N3O,B2,Antimicrobials
diethylpropion,90-84-6,CCN(CC)C(C)C(=O)C1=CC=CC=C1,C13H19NO,B2,Metabolism
diflunisal,22494-42-4,OC(=O)C1=C(O)C=CC(=C1)C1=C(F)C=C(F)C=C1,C13H8F2O3,C,Musculoskeletal System
dihydrocodeine,125-28-0,[H][C@@]12OC3=C4C(C[C@H]5N(C)CC[C@@]14[C@@]5([H])CC[C@@H]2O)=CC=C3OC,C18H23NO3,A,Central Nervous System
dihydrocodeine,125-28-0,[H][C@@]12OC3=C4C(C[C@H]5N(C)CC[C@@]14[C@@]5([H])CC[C@@H]2O)=CC=C3OC,C18H23NO3,A,Respiratory System
dihydroergotamine,511-12-6,[H][C@@]12CCCN1C(=O)[C@H](CC1=CC=CC=C1)N1C(=O)[C@](C)(NC(=O)[C@H]3CN(C)[C@]4([H])CC5=CNC6=CC=CC(=C56)[C@@]4([H])C3)O[C@@]21O,C33H37N5O5,C,Cardiovascular System
dihydrotachysterol,67-96-9,CC(C)[C@@H](C)\C=C\[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1/C[C@@H](O)CC[C@@H]1C,C28H46O,B3,Endocrine System
diltiazem,42399-41-7,COC1=CC=C(C=C1)[C@@H]1SC2=C(C=CC=C2)N(CCN(C)C)C(=O)[C@@H]1OC(C)=O,C22H26N2O4S,C,Cardiovascular System
dimethyl fumarate,624-49-7,[H]\C(=C(\[H])C(=O)OC)C(=O)OC,C6H8O4,B1,Allergy and Immune System
dinoprost,551-11-1,[H]\C(CCCC(O)=O)=C(/[H])C[C@@]1([H])[C@@]([H])(O)C[C@@]([H])(O)[C@]1([H])C(\[H])=C(/[H])[C@@]([H])(O)CCCCC,C20H34O5,C,Genitourinary System
diphenhydramine,58-73-1,CN(C)CCOC(C1=CC=CC=C1)C1=CC=CC=C1,C17H21NO,A,Allergy and Immune System
diphenhydramine,58-73-1,CN(C)CCOC(C1=CC=CC=C1)C1=CC=CC=C1,C17H21NO,A,Central Nervous System
diphenoxylate,915-30-0,CCOC(=O)C1(CCN(CCC(C#N)(C2=CC=CC=C2)C2=CC=CC=C2)CC1)C1=CC=CC=C1,C30H32N2O2,C,Alimentary System
diphenylpyraline,147-20-6,CN1CCC(CC1)OC(C1=CC=CC=C1)C1=CC=CC=C1,C19H23NO,B2,Allergy and Immune System
dipyridamole,58-32-2,OCCN(CCO)C1=NC2=C(N=C(N=C2N2CCCCC2)N(CCO)CCO)C(=N1)N1CCCCC1,C24H40N8O4,B1,Cardiovascular System
diroximel fumarate,1577222-14-0,COC(=O)\C=C\C(=O)OCCN1C(=O)CCC1=O,C11H13NO6,B3,Allergy and Immune System
disopyramide,05-09-3737,CC(C)N(CCC(C(N)=O)(C1=CC=CC=C1)C1=NC=CC=C1)C(C)C,C21H29N3O,B2,Cardiovascular System
disulfiram,97-77-8,CCN(CC)C(=S)SSC(=S)N(CC)CC,C10H20N2S4,B2,Agents used in dependency states
dobutamine,34368-04-2,CC(CCC1=CC=C(O)C=C1)NCCC1=CC(O)=C(O)C=C1,C18H23NO3,B2,Cardiovascular System
